============================================================================
 episode    eps   Q-size   states  finished   vs Rand  vs Greedy    time
----------------------------------------------------------------------------
     500  0.905   14,006   10,566   500/500    60.0%     36.0%    3.7s
   1,000  0.819   22,851   16,063   500/500    77.0%     35.0%    6.6s
   1,500  0.741   29,543   19,916   500/500    71.0%     47.0%   10.1s
   2,000  0.670   34,970   22,859   500/500    74.0%     42.0%   14.8s
   2,500  0.607   38,881   24,969   500/500    72.0%     44.0%   17.5s
   3,000  0.549   41,955   26,594   500/500    77.0%     33.0%   19.9s
   3,500  0.497   44,539   27,853   500/500    86.0%     46.0%   22.2s
   4,000  0.449   46,620   28,917   500/500    72.0%     42.0%   25.2s
   4,500  0.407   48,431   29,828   500/500    78.0%     38.0%   28.0s
   5,000  0.368   49,974   30,571   500/500    84.0%     48.0%   30.3s
   5,500  0.333   51,196   31,160   500/500    76.0%     35.0%   33.1s
   6,000  0.301   52,188   31,636   500/500    84.0%     47.0%   35.1s
   6,500  0.272   53,128   32,093   500/500    72.0%     43.0%   37.1s
   7,000  0.247   53,897   32,465   500/500    78.0%     47.0%   38.9s
   7,500  0.223   54,556   32,768   500/500    71.0%     44.0%   40.8s
   8,000  0.202   55,202   33,095   500/500    81.0%     49.0%   42.7s
   8,500  0.183   55,684   33,313   500/500    74.0%     42.0%   44.6s
   9,000  0.165   56,108   33,532   500/500    80.0%     42.0%   46.4s
   9,500  0.150   56,458   33,694   500/500    68.0%     45.0%   48.3s
  10,000  0.135   56,782   33,865   500/500    74.0%     39.0%   50.1s
  10,500  0.122   57,039   34,004   500/500    76.0%     40.0%   52.1s
  11,000  0.111   57,348   34,161   500/500    78.0%     48.0%   54.7s
  11,500  0.100   57,598   34,277   500/500    79.0%     35.0%   56.7s
  12,000  0.091   57,859   34,409   500/500    84.0%     60.0%   58.4s
  12,500  0.082   58,048   34,492   500/500    80.0%     46.0%   60.3s
  13,000  0.074   58,179   34,549   500/500    84.0%     51.0%   62.0s
  13,500  0.067   58,360   34,652   500/500    76.0%     44.0%   63.7s
  14,000  0.061   58,515   34,734   500/500    74.0%     41.0%   65.8s
  14,500  0.055   58,650   34,791   500/500    71.0%     39.0%   67.5s
  15,000  0.050   58,742   34,834   500/500    76.0%     38.0%   69.5s
  15,500  0.050   58,855   34,894   500/500    78.0%     39.0%   71.4s
  16,000  0.050   59,022   34,979   500/500    75.0%     46.0%   73.4s
  16,500  0.050   59,124   35,034   500/500    81.0%     53.0%   75.2s
  17,000  0.050   59,214   35,068   500/500    81.0%     47.0%   76.9s
  17,500  0.050   59,267   35,089   500/500    77.0%     47.0%   78.8s
  18,000  0.050   59,355   35,126   500/500    72.0%     42.0%   80.8s
  18,500  0.050   59,472   35,191   500/500    89.0%     39.0%   82.7s
  19,000  0.050   59,569   35,244   500/500    84.0%     46.0%   84.8s
  19,500  0.050   59,678   35,297   500/500    80.0%     40.0%   87.1s
  20,000  0.050   59,758   35,334   500/500    76.0%     37.0%   89.0s
  20,500  0.050   59,839   35,376   498/500    76.0%     47.0%   91.0s
  21,000  0.050   59,876   35,389   500/500    77.0%     49.0%   92.8s
  21,500  0.050   59,955   35,428   500/500    75.0%     49.0%   94.6s
  22,000  0.050   60,044   35,472   499/500    77.0%     39.0%   96.7s
  22,500  0.050   60,154   35,528   500/500    78.0%     49.0%   99.2s
  23,000  0.050   60,242   35,572   500/500    76.0%     45.0%  100.9s
  23,500  0.050   60,299   35,594   500/500    74.0%     43.0%  102.7s
  24,000  0.050   60,371   35,630   500/500    79.0%     50.0%  104.5s
  24,500  0.050   60,436   35,659   500/500    87.0%     47.0%  106.4s
  25,000  0.050   60,475   35,677   500/500    78.0%     51.0%  108.0s
  25,500  0.050   60,544   35,709   499/500    75.0%     47.0%  109.8s
  26,000  0.050   60,646   35,751   500/500    86.0%     43.0%  111.6s
  26,500  0.050   60,701   35,776   500/500    84.0%     52.0%  113.2s
  27,000  0.050   60,768   35,801   500/500    76.0%     47.0%  114.8s
  27,500  0.050   60,847   35,836   500/500    75.0%     41.0%  116.6s
  28,000  0.050   60,917   35,871   500/500    82.0%     49.0%  120.2s
  28,500  0.050   60,981   35,902   500/500    80.0%     47.0%  122.4s
  29,000  0.050   61,044   35,931   499/500    81.0%     50.0%  124.3s
  29,500  0.050   61,105   35,959   500/500    78.0%     50.0%  126.2s
  30,000  0.050   61,156   35,982   500/500    83.0%     43.0%  127.9s
  30,500  0.050   61,252   36,039   500/500    73.0%     49.0%  129.7s
  31,000  0.050   61,325   36,078   500/500    80.0%     56.0%  132.2s
  31,500  0.050   61,385   36,107   500/500    84.0%     52.0%  134.0s
  32,000  0.050   61,451   36,136   500/500    76.0%     42.0%  135.6s
  32,500  0.050   61,505   36,155   500/500    81.0%     43.0%  137.2s
  33,000  0.050   61,569   36,187   499/500    82.0%     50.0%  139.1s
  33,500  0.050   61,623   36,216   500/500    88.0%     40.0%  140.7s
  34,000  0.050   61,682   36,242   500/500    77.0%     44.0%  142.4s
  34,500  0.050   61,729   36,262   499/500    85.0%     54.0%  144.0s
  35,000  0.050   61,792   36,296   500/500    82.0%     51.0%  145.6s
  35,500  0.050   61,867   36,325   499/500    82.0%     43.0%  149.0s
  36,000  0.050   61,955   36,367   500/500    81.0%     48.0%  151.3s
  36,500  0.050   62,008   36,398   500/500    72.0%     45.0%  153.1s
  37,000  0.050   62,115   36,446   499/500    80.0%     43.0%  154.8s
  37,500  0.050   62,157   36,464   500/500    79.0%     43.0%  156.3s
  38,000  0.050   62,193   36,478   500/500    83.0%     42.0%  158.1s
  38,500  0.050   62,239   36,501   499/500    79.0%     51.0%  159.7s
  39,000  0.050   62,303   36,531   500/500    81.0%     45.0%  161.3s
  39,500  0.050   62,351   36,555   499/500    88.0%     51.0%  163.2s
  40,000  0.050   62,414   36,580   500/500    80.0%     38.0%  164.9s
  40,500  0.050   62,447   36,594   500/500    89.0%     41.0%  166.5s
  41,000  0.050   62,524   36,634   500/500    87.0%     42.0%  168.0s
  41,500  0.050   62,602   36,669   500/500    78.0%     54.0%  169.8s
  42,000  0.050   62,665   36,698   500/500    87.0%     53.0%  171.5s
  42,500  0.050   62,722   36,723   500/500    78.0%     45.0%  173.2s
  43,000  0.050   62,808   36,767   499/500    77.0%     44.0%  174.9s
  43,500  0.050   62,886   36,803   500/500    80.0%     45.0%  176.6s
  44,000  0.050   62,950   36,828   500/500    81.0%     50.0%  178.3s
  44,500  0.050   62,997   36,852   500/500    75.0%     44.0%  180.0s
  45,000  0.050   63,047   36,871   500/500    81.0%     58.0%  181.5s
  45,500  0.050   63,095   36,890   500/500    87.0%     54.0%  183.2s
  46,000  0.050   63,147   36,907   500/500    77.0%     51.0%  184.9s
  46,500  0.050   63,216   36,950   500/500    81.0%     46.0%  187.0s
  47,000  0.050   63,262   36,970   500/500    76.0%     55.0%  188.7s
  47,500  0.050   63,329   37,003   500/500    75.0%     47.0%  190.3s
  48,000  0.050   63,391   37,035   500/500    78.0%     48.0%  192.0s
  48,500  0.050   63,426   37,050   500/500    84.0%     51.0%  193.6s
  49,000  0.050   63,476   37,074   499/500    78.0%     56.0%  195.2s
  49,500  0.050   63,514   37,091   499/500    78.0%     50.0%  197.0s
  50,000  0.050   63,572   37,126   500/500    78.0%     58.0%  199.1s
  50,500  0.050   63,632   37,147   500/500    78.0%     46.0%  201.1s
  51,000  0.050   63,726   37,200   500/500    83.0%     45.0%  202.9s
  51,500  0.050   63,771   37,223   500/500    84.0%     57.0%  204.4s
  52,000  0.050   63,817   37,252   500/500    75.0%     55.0%  206.0s
  52,500  0.050   63,880   37,284   500/500    80.0%     46.0%  207.5s
  53,000  0.050   63,921   37,297   500/500    78.0%     43.0%  209.1s
  53,500  0.050   63,973   37,320   500/500    76.0%     49.0%  211.2s
  54,000  0.050   64,008   37,335   500/500    78.0%     57.0%  213.7s
  54,500  0.050   64,030   37,340   500/500    82.0%     56.0%  215.7s
  55,000  0.050   64,083   37,365   500/500    78.0%     52.0%  217.4s
  55,500  0.050   64,126   37,383   500/500    79.0%     43.0%  219.2s
  56,000  0.050   64,170   37,400   500/500    75.0%     48.0%  221.1s
  56,500  0.050   64,245   37,443   500/500    82.0%     45.0%  222.8s
  57,000  0.050   64,284   37,466   500/500    77.0%     49.0%  224.7s
  57,500  0.050   64,333   37,483   500/500    78.0%     53.0%  226.6s
  58,000  0.050   64,367   37,496   499/500    73.0%     49.0%  228.7s
  58,500  0.050   64,418   37,522   500/500    73.0%     46.0%  230.8s
  59,000  0.050   64,449   37,531   500/500    92.0%     48.0%  233.8s
  59,500  0.050   64,500   37,556   500/500    83.0%     51.0%  235.8s
  60,000  0.050   64,537   37,571   499/500    76.0%     53.0%  237.8s
  60,500  0.050   64,603   37,609   500/500    72.0%     53.0%  239.9s
  61,000  0.050   64,639   37,628   500/500    80.0%     45.0%  241.7s
  61,500  0.050   64,682   37,650   500/500    76.0%     50.0%  243.6s
  62,000  0.050   64,754   37,691   500/500    74.0%     48.0%  245.6s
  62,500  0.050   64,800   37,711   500/500    82.0%     54.0%  247.8s
  63,000  0.050   64,857   37,741   500/500    77.0%     41.0%  249.8s
  63,500  0.050   64,908   37,762   500/500    78.0%     49.0%  251.7s
  64,000  0.050   64,957   37,791   500/500    82.0%     50.0%  255.4s
  64,500  0.050   65,003   37,810   500/500    81.0%     37.0%  263.2s
  65,000  0.050   65,040   37,824   500/500    81.0%     50.0%  268.1s
  65,500  0.050   65,084   37,843   500/500    82.0%     46.0%  272.5s
  66,000  0.050   65,142   37,872   500/500    75.0%     53.0%  277.3s
  66,500  0.050   65,177   37,886   500/500    74.0%     56.0%  281.7s
  67,000  0.050   65,235   37,918   499/500    84.0%     58.0%  285.7s
  67,500  0.050   65,282   37,941   500/500    80.0%     34.0%  291.0s
  68,000  0.050   65,333   37,966   500/500    82.0%     48.0%  294.9s
  68,500  0.050   65,360   37,978   500/500    74.0%     47.0%  299.1s
  69,000  0.050   65,398   37,996   500/500    79.0%     47.0%  303.4s
  69,500  0.050   65,445   38,019   499/500    75.0%     48.0%  308.0s
  70,000  0.050   65,478   38,033   500/500    84.0%     48.0%  312.9s
